Description,Service,Log Details,Complexity-Weight,predicted complexity,match_status
"CAT test monitoring  , All runway substations (every Wednesday 12 PM To 1.00 PM)",UPS,DG load test conducted successfully. Monitored all assets before and after the power transfer time. Found all assets are healthy and working normally. Battery backup is available and all batteries are healthy.,2.0,2.0,matching
PM(ALL BATTERY REPLACEMENT),UPS,"FULL BATTERIES INSTALLATION WORK COMPLETED.ECBS AND BATTERIES WORKING NORMAL OPERATIONS. BATTERY DETAILS; SUNLIGHT ACCUFORCE, 12 V / 55 AH,18 NUMBERS. BATTERY CODE JUJ20 BATTERY MFD.20/10/2021",3.0,2.0,not matching
Light fused,Electrical,We have replaced here 2nos 18w840 4pin cfl lights. Now here all lights are working good condition. Past lux level is 287.we have used the materials #MR735191,1.0,1.0,matching
PM - 1NOS COOLING FAN FAULTY,UPS,"Cooling fan replacement work completed at ups inverter section 1 nos ,now all Cooling fan working. UPS AND BATTERY'S ARE WORKING NORMAL OPERATIONS",2.0,2.0,matching
QC-Door is hard to close,Civil,Door alignment has been done.,2.0,2.0,matching
ESCORT FOR CONTRACTORS TO ACCESS ELECTRICAL ROOM,Electrical,"Access electronical room and assistance to tracing circuit connected to office incoming renovation.permit attached,now electrical room is properly closed.",1.0,1.0,matching
Consumables rack painting required ( Sharmila),Civil,Checking and repairing rack painting completed length 2 sq mater center 1mater,2.0,2.0,matching
Wall painting required,Civil,Wall painting work is done properly 37sqm,3.0,3.0,matching
WC drain  blocked,Plumbing,"Checked the complaint in male washroom there is total 2 cubicle only 1 cubicle wc blocked due to undissolved tissues and waste. Remove tissues and waste and using plunger and spring to remove the blockage, now all cubicle working normal.  No service impact",1.0,1.0,matching
2 W/BASIN BLOCKED,Plumbing,"Checked and found two wash hand basin blocked  with excess food wastes human hair and undissolved tissues  that blocked under the trap. Removed the blockage with a plunger and a  ridding tool, cleaned the bottle trap, and now washbasin is in good working condition,  no blockage",2.0,2.0,matching
ELECTRICAL ROOMS DOOR TO BE OPEN,Electrical,As per request we open the electrical rooms and they have some inspection inspection completed we close the door properly,1.0,1.0,matching
electrical socket cover missing,Electrical,Check the socket and found that electrical cover is missing and cover is not available in the area and don't have any spare. We decided to replaced with new one electrical socket with complete fitting. Now socket is in good condition and power is available.  Inform also yhe customer,1.0,1.0,matching
biometric machine power cable to be covered,Electrical,"We fixed it cable by used cable tie and we informed the customer,now cable is already fixed in biometric machine.",1.0,1.0,matching
"ESCORT FOR THECONTRACTORS TO ACCESS ELECTRICAL ROOM
project # 24096 T2 
Permit No. DXBP/2025/0598",Electrical,Checked the permit and opened the door for electrical work after completing closed the doors properly,1.0,1.0,matching
PM (01no Battery Need to be replaced),UPS,"Checked and found one 12V-55Ah battery is weak during discharge test in the last PPM, reported and created one WO for replacement. Arranged new battery,PPEs and proper tools. Co ordinated to BMS operator and UCC before proceeding to the task.  Isolated the battery breaker and replaced one battery. Normalized the  breaker and checked the voltage. Now system is working normally.",3.0,2.0,not matching
APS AC POWER FAILURE,Electrical,Check the panel and there is no power supply the we go to electrical closet the found EGS -Upp-g12 r1 tripped.  We reset and check the fire alarm panel. And now fire alarm panel power was restored and working agian,1.0,1.0,matching
PM - 2 NOS COOLING FAN FAULTY,UPS,"2 nos cooling fan replacement work completed, now all cooling fan working,UPS and battery's working normal operations.",2.0,2.0,matching
LIGHTS FUSED (NOS-02),Electrical,We have replaced here 1nos 50w spot lights with using 1nos ballast also. Now here all lights are working good condition.  Past lux level is 517.We have use this materials DM 9900202.,1.0,1.0,matching
Water Leaking from Cceiling Pipe - Pic Attached,Plumbing,Cleaned the accumulated water and dry the area now there is no more water dripping from ceiling,2.0,2.0,matching
NO POWER TO SOCKET AND SOCKET DETACHED-PIC ATTACHED,Electrical,We checked and found the breaker was tripped nowcwe reset the breaker power back to normal in the socket,1.0,1.0,matching
Wall painting required,Civil,Wall painting work is done properly 52sqm,3.0,3.0,matching
washbasin silicon required,Plumbing,Checked and found all washbasin silicone required then removed the old white silicone and applied the new white silicone. No service impact,1.0,1.0,matching
HAND DRAYER DEFECTIVE CONTINUOUSLY ON  NEED TO STOP,Electrical,"Arrange the new hand dryer. Isolate the power supply before disconnect the supply cable then Removed the existing faulty hand dryer. Then Installation of new hand dryer, re connection of power supply cable. Re-energized the power source. Testing and functional testing hand dryer. Hand dryer is fully operational.  Inform the customer that the hand dryer is now working",2.0,2.0,matching
Vanity counter corner grouting required (CIVIL),Civil,Silicon application has been done properly,2.0,2.0,matching
