WO#,Description,work-type,Service,Log Details,FIR,Complexity-Weight
31861532,POWER TRIPPED,SBD,Electrical,Isolated the machine charger and restored power from DB. Also informed to client to use load as per rated circuit.,Checked and found here in socket power is not available due to overloaded charging machine charger. Need to isolate the load to restore power. DB-DFC-PP/22-111.,2
31856730,Junction boxes containing electric wires are damaged. Boxes needs to be raised and re-installed.,SBD,Electrical,We have fixed the hanging condition junction box. Now this junction box is good condition.,We checked and found this location the junction Box is hanging condition.  Need to Fix properly. There is no anympower issue.  Service is not impacted.,2
31856117,Power socket damaged,SBD,Electrical,Webhave replace here 1nos 13A wall socket. Now this wall socket is working normally.  And also  now there is no any safety hazards issues.,We checked and found this location 1nos 13A wall socket is damaged condition out of 8nos sockets. Need to replace the socket.  Service is not impacted.,2
31855966,Light fused,SBD,Electrical,We have replaced here 1nos 28w865 T5 tubelights. Now here all lights are working good condition. Past lux level is 239. We have use this materials #MR 734865.,We checked and found this location 1nos 28w840 T5 Tubelights  fused out of 3nos lights .need to replace. Height less than 6meters. Pre lux level is 217.no any service impact.,1
31883400,Small light fused,SBD,Electrical,We have replaced here 1nos 50w spot lights. Now here all lights are working good condition. Past lux level is 311.we have used this materials #DM 9900202.,We have replaced here 1nos 50w spot lights fused out of 3nos lights. Need to replace. Height less than 6meters. Pre lux level is 289.no any service impact.,1
31883402,Light fused,SBD,Electrical,We have replaced here 4nos 14w840 T5 Tubelights. Now here all lights are working good condition. Past lux level is 319. We have use this materials  DM # 9901238.,We checked and found this location 4nos 14w840 T5 Tubelights fused out of 64nos tubelights. Need to replace Height less than 6meters. Pre lux level 299.no any service impact.,1
31878584,TUBE LIGHTS FUSED (2 NOS),SBD,Electrical,Here replaced 2nos 14w840 tubelights after replacement of tubelights the lux level 320 now lights are working good  DM9901238/MR735633,"In this location checked and found 2nos 14w840 tubelights fused out of 24nos lights need to replace, Height less than 6meters and the pre lux level 301, no service impact",1
31883239,STAIRCASE LIGHTS FUSED ( 2 NOS ),SBD,Electrical,We have replaced here 4nos 23w865 E27 cfl light. Now here all lights are working good condition.  Past lux level is 227,We checked and found this location 4nos 23w865 E27 cfl light fused.  Need to replace the lights. Height is less then 6meter . Pre lux level is 137. Service is not impacted.,1
31853224,Light fused,SBD,Electrical,Here replace 1no 18w840 2pin cfl lights after replacement of lights  the lux level 254 now all lights are working 3,"In this location checked and found 1no 18w840 2pin cfl light fused out of 5nos cfl lights need to replace, Height less than 6meters and pre lux level 213, no service impact",1
31861533,LIGHT NEED TO CHANGE ( WHITE CEILING LIGHT REQUIRED),SBD,Electrical,Here replace 1no 18w865 4pin cfl lights after replacement of lights the lux level 293 all lights are working good,"In this location 08-08-CMT-3094 male toilet check and found 1no 14W840 4pin cfl lights dimmed out if 5nos lights need to replace, Height less than 6meters and the pre lux level 264, no service impact",1
